SENDER_EMAIL_ADDRESS,civiform_config,variable_definitions,terraform_variables,
SHOW_CIVIFORM_IMAGE_TAG_ON_LANDING_PAGE,,variable_definitions,,server_variables
SKIP_CONFIRMATIONS,,variable_definitions,,
SSL_CERTIFICATE_ARN,civiform_config,variable_definitions,terraform_variables,
STAGING_ADD_NOINDEX_META_TAG,,variable_definitions,,server_variables
STAGING_ADMIN_LIST,,,,server_variables
STAGING_APPLICANT_LIST,,,,server_variables
STAGING_APPLICANT_NOTIFICATION_MAILING_LIST,civiform_config,variable_definitions,terraform_variables,
STAGING_DISABLE_APPLICANT_GUEST_LOGIN,,variable_definitions,,server_variables
STAGING_DISABLE_DEMO_MODE_LOGINS,,variable_definitions,,server_variables
STAGING_HOSTNAME,civiform_config,variable_definitions,terraform_variables,server_variables
STAGING_PROGRAM_ADMIN_NOTIFICATION_MAILING_LIST,civiform_config,variable_definitions,terraform_variables,
STAGING_TI_LIST,,,,server_variables
STAGING_TI_NOTIFICATION_MAILING_LIST,civiform_config,variable_definitions,terraform_variables,
STORAGE_SERVICE_NAME,,,,server_variables
SUPPORT_EMAIL_ADDRESS,,,,server_variables
TERRAFORM_TEMPLATE_DIR,civiform_config,variable_definitions,,
USE_LOCAL_BACKEND,,variable_definitions,,
WHITELABEL_CIVIC_ENTITY_FULL_NAME,,,,server_variables
WHITELABEL_CIVIC_ENTITY_SHORT_NAME,,,,server_variables
WHITELABEL_LOGO_WITH_NAME_URL,,,,server_variables
WHITELABEL_SMALL_LOGO_URL,,,,server_variables
